Time,VAR_Forecast_Mean,VAR_Forecast_Variance,Bayesian_Forecast_Mean,Bayesian_Forecast_Variance,Combined_Forecast_Mean,Combined_Forecast_Variance
1,-0.026623468213735246,0.013251495508813275,-0.051126356086756475,0.15671700559800933,-0.03887491215024584,0.05815503286655342
2,-0.03359498469166046,0.00436626651567605,-0.07835091913282735,0.004986327889122637,-0.055972951912243905,0.0015413796688901395
3,-0.0049676227371988155,0.00525609742104879,-0.009246028867777966,0.0008065330061280526,-0.00710682580248839,0.0012088854782783627
4,-0.0024828893167709114,0.005764402664697995,-0.005062090354056916,4.574168005078787e-05,-0.0037724898354139134,0.00136728643932508
5,-0.0008819354003445593,0.005946897691822176,-0.00106227151918162,4.617872860062369e-06,-0.0009721034597630872,0.0014585247497238749
6,-0.0005663023025993489,0.005996422234624916,-0.00036633113288892373,3.439246009017184e-07,-0.0004663167177441356,0.0014913580502269323
7,-0.00045789004481470026,0.006011196414391131,-9.64707770924516e-05,2.992467384220217e-08,-0.00027718041095357583,0.0015004405185495874
8,-0.000429887280652004,0.006015270992702002,-2.900690570691337e-05,2.4174642937406856e-09,-0.00022944709317945788,0.0015031529268308057
9,-0.00042165956837198897,0.006016437219762311,-8.174648978171185e-06,2.0222163542344737e-10,-0.00021491710867507994,0.001503915703199285
10,-0.00041937524146918036,0.006016764239590207,-2.373734236136551e-06,1.665656889874421e-11,-0.00021087448785265736,0.001504135648742936
